x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
4.2875634481777746e-104,1.2360839369060977e-104,2.2670494441413328e-104,1.6334179895190405e-104,1.934101589838717e-104,4.473806749080692e-104,1.1479880081755062e-103,8.034176424078115e-104,7.998822027206661e-104,3.742216950165826e-104,5.255568693974903e-104,2.4974495339370666e-104,9.333531645695298e-104,1.6121793884076725e-104,1.3561401795372179e-104,3.6612963926279114e-104,1.9281821316429358e-104,1.3141928999397345e-103,2.3203878624687822e-104,3.07259127533505e-104,3.304761104163228e-104,2.4822527466404776e-104,1.2709971166646268e-104,4.901756646237058e-104,8.322425972009908e-104,4.398484380350691e-104,4.436078673912332e-104,1.4935583967354342e-104,5.064738918735571e-104,6.094861802281653e-104,1.7897347199932924e-103,1.0455737300416611e-104,1.3943345509355876e-104,1.3244039172587344e-103,2.539450977726398e-103,9.450486023648794e-104,1.1025263955253106e-104,4.523686062253561e-104,4.690631568164706e-104,9.452125427030836e-105,6.33001113133819e-104,2.9723268795507995e-103,6.387637018122261e-104,3.0788916047172666e-104,6.752245346315215e-105,2.271330800804877e-103,1.1138508591362887e-105,1.1944444650894201e-103,1.8818295810659985e-104,1.5669665975704083e-104
2.0198939269062572e-104,5.1582170148379263e-104,8.516945817694558e-104,1.0763244182824501e-103,2.0739999190644364e-104,3.309020940683165e-103,9.180092922391695e-104,4.170572440310297e-104,2.728653702406029e-104,2.819623380217585e-104,2.2858686363554265e-104,5.15110844571078e-104,6.142036725569242e-104,3.6473645875363137e-104,6.727247233439186e-104,1.1132767232540597e-103,5.2385181498421434e-104,8.088798271163484e-105,1.2102089318901015e-104,2.7492322080324352e-104,4.305106692004454e-104,1.0777717993069849e-103,3.229616098259375e-104,4.0574074969730583e-104,3.0336316501326994e-104,3.538884484481622e-104,5.422374061713611e-104,8.146824731461255e-104,6.032237715926077e-104,9.151830071963399e-104,1.817527295079158e-103,1.5127655058049215e-103,1.0092635161947988e-104,7.297712813189954e-104,4.10869256955575e-104,8.270007283812158e-104,1.4029876690600243e-103,5.600618344307119e-104,6.453876738246517e-104,6.723365527895578e-104,1.2807194395643658e-103,1.7294464734111708e-103,9.216393036076772e-104,2.467509352634267e-103,1.9570885113026775e-103,8.215163689442606e-104,1.34646074228268e-103,5.980841250208554e-104,5.6210075223076e-104,3.9291826620935145e-104
6.001101662274558e-104,2.766192738088051e-104,1.804638671239707e-104,8.524996273682748e-104,2.309331374403949e-104,6.868446428057199e-104,1.1875130794485657e-103,9.806666223305572e-104,6.848139920334907e-104,2.1532271839639893e-104,1.6533905690415848e-104,2.3217528189683557e-104,3.235857968343778e-104,8.529863399739344e-104,1.7469454926092042e-104,3.467479987144836e-104,3.9119612873299616e-104,6.482811803775554e-104,7.019827519431386e-104,1.5588587188137528e-103,1.1559418842929403e-103,1.2036905924687768e-103,6.172753453794948e-104,1.2631676644732296e-103,7.769831314557458e-104,4.7517078690923456e-104,3.8145999563443476e-104,1.3057220795617503e-103,1.4799624925032336e-103,7.050507419873583e-104,2.332725582161281e-103,1.0374637673776366e-103,6.660161837322463e-104,1.9993873813883465e-103,1.5114974835288864e-103,9.925105159605427e-104,1.2290163562430383e-103,4.653846205255173e-104,1.3638820698171254e-103,1.6930142826370454e-103,6.602624157490533e-104,1.6047519651657979e-103,4.9202437679465125e-104,1.3192019107030554e-103,4.7792513979339707e-104,1.1341762824704988e-103,1.8136928785123015e-104,6.590288121652063e-104,5.847357620049104e-104,4.869149816343119e-104
8.409679955908401e-104,9.7495312857861e-104,6.695861318802076e-104,1.1662259321400425e-104,3.016279326588506e-104,4.7778240969083044e-104,3.952208929754704e-104,4.383529591996692e-104,7.359892596623322e-104,4.475413727308883e-105,6.003695040427033e-104,1.442994508401493e-104,1.3153637708195089e-103,1.818085803330738e-103,2.8100951787130777e-104,7.157620485588686e-104,1.7293231556880987e-104,1.2611276212144378e-103,5.172170448638364e-104,7.547546001846499e-105,2.2401031774702983e-104,1.1304214462630213e-103,3.191844176931358e-104,3.583690041238933e-104,2.260351288539542e-103,3.898555635372834e-104,1.4702343066625182e-103,8.265699660794904e-104,3.814426757651124e-104,3.4312970742830726e-104,7.367753938912056e-104,3.187379999750197e-104,2.049862258684352e-103,2.009374498250717e-103,1.5368189578694862e-103,1.0313387329390533e-103,7.857148988706601e-104,1.2985963101433113e-103,7.823807066521756e-104,2.6450599061715263e-104,1.5041600065381528e-104,1.6661926792507893e-103,1.840532820254544e-103,4.843208392408582e-104,2.4849258466953985e-103,4.976231595421943e-104,2.379244895508192e-105,1.3469930037450626e-103,7.697667325053066e-104,4.89692469320496e-104
8.160845000031088e-104,6.12193034025548e-104,4.1589153204198415e-105,7.71103144275793e-105,1.675,4.9880835556169964e-104,1.675,1.0040624987455313e-103,4.0020075370520377e-104,1.7942443649235346e-104,1.1803918907992226e-103,1.406497464382701e-103,4.5775322244035565e-104,3.956454237955783e-104,5.80596346418823e-104,2.051155465871018e-104,2.806528654883675e-103,1.4864217995831734e-104,5.984892664284461e-104,1.9039561439705467e-104,2.1335104550268818e-104,7.574292255781869e-104,1.6447046791161128e-104,2.2626687354061834e-104,1.420684917035165e-103,8.592092809326274e-104,1.3625514790336057e-103,5.033891084888965e-104,2.501197249732174e-104,1.6716095615506095e-103,4.706944133982679e-104,4.0855276430431555e-104,8.975338751022641e-104,4.7003495607434676e-104,9.323473837297799e-104,2.1223122839807153e-103,3.611873007763329e-104,5.034458594868212e-106,9.48577038411884e-104,8.577844254320437e-104,3.4312494550192124e-104,3.367177839012047e-104,4.192996137189332e-104,4.207010945095239e-104,5.641112321392131e-104,3.8989174723251815e-104,3.980008148854701e-104,7.252718929528281e-104,7.206767203416024e-105,4.5148480159209274e-104
5.06079573348541e-104,3.8395765406740086e-104,6.092321943125954e-104,1.7834077299206943e-104,1.3683763467174545e-103,1.77,1.77,2.8992235262321403e-104,9.178826126623614e-104,2.1710526601784425e-104,3.0183222747356636e-104,6.268504974929257e-104,1.3775724251284015e-103,1.015011099015704e-103,9.177413793264123e-104,3.873816230610757e-104,1.9282654911216205e-103,5.390641053578712e-104,1.8021429138741192e-104,7.090981583454907e-104,1.0546993970960581e-104,4.165638023731665e-104,1.9600087939054893e-104,1.4005203919036146e-103,3.302131922871546e-104,2.4252162738873638e-104,1.5160045218061737e-103,2.5702976614865353e-104,8.352128805452044e-104,7.09654996168775e-104,1.0933017606395146e-103,3.429972786466788e-104,9.26742301890355e-104,1.4079937845956277e-103,6.60035417402855e-104,3.166812079800845e-104,3.443253403245678e-104,1.4491629438063257e-103,1.9243821513143447e-104,7.935985945837093e-104,1.5919550754657868e-104,5.056698032965786e-104,1.019388445664525e-103,3.154789974956326e-104,1.7742819127553779e-103,1.6209859197296943e-104,2.860872932835483e-104,3.4124802372778527e-104,3.3916843346184436e-104,7.129859337206712e-104
1.0124693409292938e-104,7.755990610779353e-105,2.664234937333354e-104,4.182252138176067e-104,4.322082169279044e-104,1.865,3.455712955980053e-104,3.953608649339162e-104,2.1102861529186946e-104,1.6949925539636555e-104,3.023076342610642e-104,1.4062387820304477e-104,3.692281228118894e-104,2.429270814769234e-104,2.7293466327424784e-104,2.77419449127015e-104,2.6245408769382747e-104,1.1785277246812257e-103,2.539040575473722e-104,4.990794938054664e-104,9.789258663347243e-105,7.276927615043035e-104,8.379174710438635e-104,8.035228607749436e-104,1.3471313562529852e-103,1.0226834363025533e-103,1.7871277091831938e-104,3.3161049644038423e-103,1.0034920329568932e-103,1.5364031942441275e-104,3.03486968045974e-104,1.6082397897926176e-104,2.4175123198739458e-105,3.0554428774986e-104,1.049892187131415e-103,2.7901800101322725e-103,1.0823328518840558e-104,6.061817657622625e-104,1.865,1.917048198031247e-104,1.0186283033446018e-103,1.3276227957327785e-104,3.984252080859198e-104,9.606792863943183e-104,1.5257825225533878e-103,6.882646701492551e-104,5.952861699215487e-104,4.2618831105729287e-106,9.17016182472419e-105,9.152938219651182e-104
1.96,8.105785196761454e-104,2.009943520645766e-104,4.283398509405502e-104,1.1813787869880542e-103,1.96,1.0430660809356898e-103,7.328720156672823e-104,8.724594231118726e-104,3.002476875081626e-104,1.96,6.452901976498308e-104,2.4842414336959105e-104,7.872257123210462e-104,1.580371850780544e-104,7.646384586185822e-104,3.2553759322275316e-104,1.6644696839505366e-103,1.6721530377518157e-104,2.401471988838467e-104,1.2991281181495202e-104,9.277543288198546e-104,1.3174469970518953e-103,2.5502516264166436e-104,1.1619888796942386e-103,7.007386594528247e-104,1.1530441041955688e-103,2.661742788345554e-103,1.5790544656403625e-103,1.238244255100151e-103,8.693135309085389e-104,5.875587580531362e-105,1.6968374730913285e-18,3.114923602933749e-104,5.792163784447876e-104,4.653837730526895e-104,1.5433888409486e-104,9.014607679977786e-104,2.2697190751129964e-103,4.680649071305727e-104,1.2972166967726602e-104,6.457384638392112e-104,4.81841022881582e-104,3.015817411619031e-104,8.109532624010899e-104,4.558962517342421e-104,4.527379915418151e-104,5.2129958097694756e-104,1.369780963670154e-103,1.395789995450135e-103
9.504600443536659e-104,1.8555543305336676e-104,2.8157403271256474e-104,6.201198638465777e-104,4.4558395397968706e-104,4.047377790329008e-104,2.814327720955398e-104,5.392980480886447e-104,1.3258753002365936e-104,5.610540501383101e-104,2.0549999999999997,1.3545657068301198e-104,2.7768175757511946e-104,2.2589525556128087e-103,4.5926504999624666e-104,8.11501044046383e-104,4.871096352249445e-104,4.096364855812235e-104,5.803284281066222e-104,9.024800579985513e-104,1.4249249615906075e-103,1.1708946020210515e-103,2.01219235599287e-103,6.399163073617439e-104,4.5627752929122716e-104,8.128950441633058e-104,8.068276112927681e-104,1.0928620786717362e-103,4.691516162655229e-104,2.508611748639714e-104,1.441790468838824e-105,1.0043797279392793e-104,4.00199824982195e-104,7.66903234888195e-104,3.148772447785589e-104,3.806276402851947e-104,1.2422684418018614e-104,3.6440184256789325e-105,8.651711321028332e-104,1.071704814203241e-104,9.165362963159236e-104,1.2627981696660707e-103,4.0270196709879244e-104,6.198230439530383e-104,1.3243767787542207e-103,1.1703614997393798e-103,7.799879805890303e-104,1.7697003029757944e-103,1.4921593034568854e-103,4.274824241554247e-105
2.3719899203673807e-103,8.001446834874809e-104,6.647629620467262e-104,3.0398478642542946e-104,1.2229608780142497e-103,8.843949893900315e-104,2.865668126788917e-104,1.1304996901431288e-103,4.284081490997921e-104,2.0067977631319815e-105,5.790654963915343e-104,8.53443199259064e-104,7.476975908256718e-104,4.0895414814536066e-104,1.2182615659739714e-103,2.7855243378776376e-104,8.363635344769145e-104,2.4692859331634666e-104,6.55959308119091e-104,3.02622923635776e-103,1.1476618213919224e-104,7.762837426020396e-104,1.3134942340581621e-103,6.65468653659437e-104,6.184429692753088e-104,5.974101247039706e-104,9.011983531268417e-104,2.1035582562347295e-103,6.728441566468636e-104,5.4452525113465206e-104,1.0921192482777534e-103,9.176054474724619e-104,4.7280096759479495e-104,2.465258880508804e-104,3.0923303259983996e-104,9.239664620449671e-104,1.67372936698273e-103,2.2852307485223877e-104,3.3418187689952906e-104,3.0228980437030828e-105,3.795986423611906e-104,5.431431711977399e-105,4.428742958648714e-104,3.6739604875032744e-104,4.3711924236843103e-104,1.6366657354788471e-103,1.5026123355980138e-105,1.6278563708289585e-103,7.646419688768651e-104,5.859638745221567e-104
