Transmission distance [km]
0
0
0
0
0
0
0
0
0
0
0
0
8.22
52.18
80.74
78.19
74.12
70.2
66.75
63.01
60.45
59.86
60.06
55.65
46.55
34.99
23.37
14.2
4.89
0.87
0.76
2.63
7.96
12.47
9.38
3.52
1.47
3.04
5.9
0.75
1.46
3.65
7.1
13.64
20.63
26.83
33.8
40.97
48.69
53.17
52.48
48.26
42.98
37.79
32.72
29.22
27.28
29.57
34.26
40.75
41
33.72
24.68
17.09
12.9
6.52
2.66
6.76
12.44
17.99
22.46
26.48
29.88
33.99
40.04
46.04
50.14
51.92
50.13
47.38
42.9
38.4
36.64
36.46
36.81
37.07
37.43
37.73
37.98
37.27
36.1
36.04
37.41
39.7
38.81
37.85
37.17
36.37
35.56
35.88
36.27
36.59
36.74
38.15
41.61
44.88
45.31
45.45
45.66
46.52
48.89
52.9
0
0
0
0
0
0
0
0
0
0
0
0
0
0
39
76.72
70.13
63.71
58.12
52.59
49.02
48.24
49.24
51.23
45.94
34.38
22.82
13.59
4.28
0.91
0.69
3.87
10.44
14.25
7.2
0.94
0.93
0.98
1.88
0.45
2.1
3.67
7.76
15.87
20.41
23.92
29.92
37.24
44.29
42.6
41.47
38.9
33.67
28.31
22.97
18.36
15.9
19.61
26.18
34.06
35.01
26.85
17.44
8.33
3.02
2.5
7.68
15.25
22.53
28.24
32.6
37
40.56
44.2
47.14
46.42
45.67
44.05
41.02
37.07
32.36
27.64
25.13
24.98
25.27
25.49
25.79
26.15
26.46
26.07
24.38
24.45
26.26
28.41
27.22
26.35
25.73
24.73
24.09
24.3
24.74
25.05
25.23
27.13
31.63
33.41
33.7
33.94
34.17
35.13
38.14
41.79
0
0
0
0
0
0
0
0
0
0
0
0
0
0
36.44
71.36
64.18
57.14
50.81
44.42
39.95
39.04
40.16
42.88
42.95
33.82
22.3
13.01
3.87
0.94
0.73
1.64
5.21
13.31
11.41
5.58
1.53
1
2.34
0.59
3.17
6.72
5.2
9.03
11.67
16.85
24.59
33.14
37.87
33.65
32.3
30.98
25.81
20.6
15.35
10.17
7.23
13.53
22.03
30.93
31.24
22.57
12.31
3.04
4.61
9.63
13.84
20.47
29.66
36.28
40.41
43.64
45.99
46.17
40.79
37.2
36.49
34.96
32.58
28.66
23.83
19.23
15.99
15.73
15.97
16.21
16.59
16.91
17.21
17.02
15.2
15.26
17.44
19.49
17.92
17.14
16.51
15.57
14.76
15.08
15.46
15.86
15.96
19.01
23.37
24.2
24.37
24.59
24.99
26.22
29.89
32.58
0
0
0
0
0
0
0
0
0
0
0
0
0
0
34.06
66.61
59
51.2
44.05
36.41
31.19
29.74
31.25
33.86
34.68
32.25
21.76
12.49
3.43
0.87
0.79
3.87
9.92
16.64
18.18
10.46
3.77
0.97
1.01
0.39
1.13
2.37
2.03
2.61
4.82
13.08
22.22
29.79
29.85
25.03
22.94
23.06
18.4
13.08
7.76
2.9
3.22
12.36
21.37
30.48
29.63
20.5
9.22
3.13
10.25
17.45
21.81
26.92
34.18
36.71
36.49
37.45
38.18
38.21
32.69
28.11
27.18
25.84
24.06
20.35
15.4
10.79
7.19
6.45
6.67
6.96
7.32
7.64
7.96
7.81
6.09
6.17
8.63
10.96
8.7
7.95
7.29
6.27
5.59
5.81
6.21
6.63
6.93
11.52
14.46
14.93
15.25
15.34
15.68
17.58
21.63
23.45
0
0
0
0
0
0
0
0
0
0
0
0
0
0
32.14
62.64
54.84
46.46
38.39
29.29
22.49
20.62
22.46
24.76
25.39
27.11
21.25
11.96
3.18
0.94
0.67
5.57
13.58
20.03
21.31
12.67
4.66
1.93
2.74
0.41
0.79
3.32
4.76
6.74
8.23
14.66
21.76
22.17
21.14
16.63
13.73
14.42
10.62
5.38
2.21
1.68
7.24
16.81
24.42
32.68
30.87
22.22
12.71
9.46
15.16
22.97
28.8
29.46
28.95
27.54
27.2
28.15
28.92
29.63
24.66
19.28
17.94
16.66
15.35
11.91
6.97
2.8
2.46
3.2
3.05
2.84
2.69
2.58
2.49
1.8
3.18
3.13
2.23
3.48
2.23
2.41
2.77
3.32
3.7
3.62
3.24
3.13
2.34
3.74
5.33
5.59
5.86
6.21
6.46
9.71
12.66
14.22
0
0
0
0
0
0
0
0
0
0
0
0
0
0
30.11
58.56
50.66
42.5
34.18
23.8
14.85
11.47
13.82
15.67
16.13
19.53
20.52
11.42
2.88
1.28
0.66
1.81
8.13
16.68
20.88
12.47
3.43
2.75
1.48
0.52
0.76
5.51
7.44
6.27
5.12
12.72
15.39
13.07
12.21
8.34
4.66
5.93
3.44
1.19
2.43
3.23
11.85
21.71
29.55
37.1
34.68
27.13
20.32
18.23
21.82
26.05
24.14
21.04
19.71
18.26
18.03
18.93
19.76
20.68
17.12
10.81
8.59
7.6
6.43
3.65
2.69
6.28
9.91
12.13
11.84
11.54
11.13
10.85
10.54
8.07
10.94
11.69
8.17
4.54
8.41
10.36
11.36
12.29
12.79
12.73
12.24
11.98
8.97
4.95
4.03
3.73
3.56
3.29
2.57
2.76
3.64
4.95
0
0
0
0
0
0
0
0
0
0
0
0
0
0
28.57
55.38
46.83
37.88
29.2
18.77
8.82
2.84
3.64
4.43
5
10.61
16.32
12.9
6.71
2.64
0.86
0.87
4.31
13.03
19.59
13.24
4.05
4.81
3.08
1.1
0.49
2.45
3.21
3.74
8.08
11.68
7.28
2.99
2.77
2.14
4.34
3.74
4.79
9.11
12.49
13.66
18.49
27.35
35.32
43.25
41.85
35.95
30.94
28.37
25.51
19.38
13.7
10.11
8.17
6.64
6.55
7.36
8.26
9.13
7.27
3.04
4.03
4.46
5.34
7.02
11.93
16.8
20.45
23.41
23.38
23.06
22.75
22.46
21.5
19.36
20.95
22.34
17.83
16.01
18.43
21.76
22.83
23.74
24.4
24.26
23.91
22.98
19.14
16.05
15.49
15.29
14.93
14.55
11.54
9.18
7.91
6.4
0
0
0
0
0
0
0
0
0
0
0
0
0
0
27.97
54.21
45.54
36.24
27.12
15.63
4.89
