Population [people]
0
0
0
0
0
0
0
0
0
0
0
0
126
240
240
240
240
222
169
180
122
122
122
122
134
207
138
138
138
138
138
3249
3909
2580
1410
837
237
832
1508
3651
2690
304
198
290
192
2255
3189
1223
193
337
299
300
300
300
299
266
333
192
192
192
192
111
128
143
155
68
0
0
2
2
2
2
2
1
0
0
0
0
0
0
0
0
0
0
3
6
9
6
6
6
6
6
6
9
12
18
18
18
18
27
13
4
18
18
18
27
18
18
18
18
18
27
0
0
0
0
0
0
0
0
0
0
0
0
0
66
160
160
160
160
156
142
92
92
92
92
90
135
90
90
90
90
90
2569
2812
2222
1226
1236
796
840
2575
2678
320
272
143
198
132
132
132
132
132
198
174
200
200
200
200
188
222
132
132
132
132
132
181
132
132
69
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
4
6
4
4
4
4
4
4
6
8
12
12
12
12
18
12
12
12
12
12
18
12
12
12
12
12
18
0
0
0
0
0
0
0
0
0
0
0
0
0
4
155
162
162
162
162
174
92
92
92
92
78
102
68
68
68
68
68
1328
10412
982
856
15093
72781
8274
16113
6470
320
320
289
226
132
132
123
122
130
198
146
197
200
200
200
177
644
558
1842
132
132
132
198
132
132
125
18
72
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2
4
6
4
4
4
4
4
4
6
8
12
12
12
12
18
12
12
12
12
12
18
12
12
12
12
12
18
0
0
0
0
0
0
0
0
0
0
0
0
0
0
80
164
164
164
164
198
92
92
92
92
88
102
68
68
68
68
68
125
783
539
686
1166
6699
4813
3918
2406
379
320
320
398
132
139
114
112
112
171
112
112
112
112
112
112
3040
10075
11377
5218
132
132
198
132
132
284
1757
187
81
382
133
5
0
0
0
0
0
0
0
0
0
0
0
0
2
4
6
4
4
4
4
4
4
6
8
12
12
12
12
18
12
12
12
12
12
18
12
12
12
12
12
18
0
0
0
0
0
0
0
0
0
0
0
0
0
0
58
264
175
164
424
968
116
92
92
92
93
162
75
68
68
68
68
102
100
532
777
1064
1032
2291
3273
2273
1515
322
322
501
463
231
112
112
112
168
112
112
112
112
112
112
2120
10338
29668
67443
5968
146
340
280
980
2563
2494
429
814
624
287
31
0
0
0
0
0
0
0
0
0
0
0
0
2
4
6
4
4
4
4
4
4
6
8
12
12
12
12
21
14
12
12
12
12
18
12
12
12
12
12
26
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1338
655
647
623
671
1090
639
529
767
134
142
228
86
68
68
68
68
4396
4802
560
585
594
793
2014
4357
22417
7136
325
482
850
598
158
112
112
107
85
81
112
112
112
112
112
466
13060
94302
53343
4889
360
570
360
332
1116
1275
624
936
2445
8184
167
92
0
0
0
0
0
0
0
0
0
1
3
4
4
6
4
4
4
4
4
4
6
10
14
15
16
16
24
16
16
15
12
12
18
12
12
12
12
15
61
0
0
0
0
0
0
0
0
0
0
0
0
0
0
9275
1383
1137
1029
1065
8909
1308
1659
1531
256
228
344
185
177
176
174
176
264
507
481
987
1423
2150
5164
2919
4895
1704
1240
1022
1426
1085
904
1192
886
104
96
43
54
378
1793
2216
4909
1995
1038
7395
13238
3904
570
835
500
498
498
607
901
1404
936
1158
1296
13
0
0
0
0
0
0
0
0
2
5
6
6
6
9
6
6
6
6
6
6
9
18
24
24
24
24
36
24
24
36
42
52
84
48
37
32
49
66
117
0
0
0
0
0
0
0
0
0
0
0
0
0
0
710
1224
993
638
829
1290
1117
1224
1224
514
152
722
313
188
188
188
211
368
338
642
1032
1375
1886
6000
3069
1009
1015
1012
1130
3587
2434
4321
3957
3098
1505
686
441
618
1129
1297
1894
2512
7249
4045
2545
2539
1144
877
1501
451
332
332
332
356
858
628
317
117
261
95
0
0
0
0
0
0
0
2
4
4
4
4
6
4
4
4
4
4
4
6
12
16
16
16
16
24
16
16
48
52
52
78
52
52
52
52
52
78
0
0
0
0
0
0
0
0
0
0
0
0
0
0
253
1206
573
392
598
1380
1556
1659
1556
414
156
932
1106
762
559
236
322
533
486
1270
1472
928
928
5230
9204
999
916
860
1590
9387
15636
9225
2371
1328
524
668
397
383
313
411
1146
3818
4515
5756
2593
25013
3175
1926
2010
1308
506
336
354
332
556
598
496
293
316
281
15
0
0
0
0
0
0
3
4
4
4
4
6
4
4
4
4
4
4
6
12
16
16
16
16
24
16
16
48
52
52
78
52
52
52
52
52
78
0
0
0
0
0
0
0
0
0
0
