Drilling rights costs [$/block]
9838
7723
7785
6384
9438
2041
8953
1671
1651
5971
9242
9684
112302
105282
149235
57245
220498
54083
35798
9650
62819
80168
122257
109159
126076
157833
70150
24570
76672
99527
108448
1305556
3128262
2371608
337778
263832
26176
613550
1005231
2420246
1534899
241042
16686
190457
189436
2088735
2945753
227572
159331
247186
281998
296577
275923
29759
61013
155471
66483
181720
197174
144958
84825
94041
78022
70511
51395
55508
9261
1942
8539
8741
2740
3740
6349
7551
7312
5355
5270
9158
9820
9680
5733
1195
2844
9535
8494
8166
7429
15541
8197
8164
8931
6752
11137
8766
14399
17321
8383
3880
22265
26900
18757
10227
13446
10493
24424
9004
12753
19469
20595
16733
12236
11006
4507
1000
3946
2581
4341
8276
7896
8706
8517
1103
7827
4475
8738
63405
111061
9962
125465
49393
156146
86011
25528
23378
87113
79801
84812
104766
81139
84370
86806
10761
29761
879322
1689849
1712327
1165372
325436
455671
772715
1798070
1186584
7148
206321
124408
177713
76918
70337
89457
62027
121428
54492
129234
110967
49361
196923
159474
18925
183703
27501
17348
53008
32352
38462
179554
118438
61142
15478
7909
4277
3213
5168
1325
5073
4105
1893
1269
8324
1000
5046
8554
3367
1000
9435
5073
3826
9967
10168
13613
5932
7187
8664
4125
8320
2847
9939
16304
8690
4663
13417
12233
22295
8408
15815
10145
10804
11584
9738
10858
15514
14314
12170
18121
18365
3699
4695
3035
1000
8897
5107
3031
3072
3508
5735
1000
9349
2110
5795
147250
103567
29450
12676
13329
138214
63513
64177
13470
85632
78157
18821
38845
36494
8022
69334
41022
116564
8934601
211696
801248
8562693
44497849
2658791
6496282
3898308
303793
282635
114017
170116
64989
46872
12048
115541
85660
138501
121903
128211
148027
135781
51844
129315
468252
487862
1402426
87927
104003
104563
132878
45818
58099
30434
14333
37021
4791
8175
4587
9409
7030
9436
2080
2286
3656
5135
6573
1808
1814
8215
8600
2188
9933
1000
5579
10940
6456
4738
4460
9365
8428
5842
3862
4248
7760
16575
12969
15122
15792
2472
17237
8837
7411
4470
11272
10303
10318
2706
11540
23035
8996
3307
2571
4788
3888
6616
5083
3359
4807
4217
7050
6976
5644
2964
4412
39196
39286
94993
62109
75533
54489
40115
15473
21451
85598
54202
57796
71761
18141
57783
9524
34636
65760
450072
568538
890825
1417444
168040
473436
745937
100378
309313
308519
229155
68664
54218
54222
97811
30815
56298
44260
22396
9862
102497
15775
74593
346345
2454766
9977869
1237996
127075
117608
22631
65657
3912
190182
1301852
62743
24113
98812
21580
7078
4617
4404
5580
4000
7756
2812
8854
8284
3685
9192
1000
1000
9379
5526
6121
9181
12601
2009
2191
8045
8565
10786
10298
9800
9669
7056
11403
24018
11434
11645
15825
17422
3391
14716
16473
15399
11711
8164
12240
13213
4348
4853
1000
6446
9736
9710
9791
9380
8336
4612
8912
4921
2041
2347
50215
142724
65608
88579
351441
369434
80456
73275
17175
64313
24805
146844
27814
66315
10709
24016
17315
92628
97791
266478
135026
625332
749160
1024131
26231
2260379
1188665
40028
195699
88106
306419
185635
108773
17195
27591
91676
61335
101268
7731
107782
107200
75352
1609479
4047654
12684444
31832724
4265923
39088
116516
272202
870041
947948
397848
62185
564491
474230
25778
28878
2959
5011
8753
8661
5849
6754
9272
1365
7063
3835
6759
5223
4366
8086
14646
3689
10155
4756
13170
9020
2772
9235
2067
10637
1744
9881
7234
28030
10227
14321
6838
19156
13143
20512
12224
5505
15239
17473
9277
23383
4391
1338
2570
5349
2317
8566
6567
4211
4930
3631
8979
8833
1000
4459
62441
356106
48078
525285
525480
211408
197067
117874
435806
4989
101656
137683
41167
41410
13084
23308
28161
2194400
2003511
282975
281052
204446
607622
99389
3583694
6739990
343114
153678
442310
86517
575224
143525
10849
93294
32877
55894
82783
12291
29803
77119
60916
60522
11568
440630
39859960
47703962
255718
284738
260044
349289
230299
488928
734822
407249
12573
623041
2464255
169961
13182
1000
1578
4792
4450
8787
8051
2051
6412
1709
5216
10948
9242
9821
5922
8361
5552
9650
2743
9556
8560
9417
7900
14943
5077
13254
17079
14448
19102
10623
20934
15383
17491
8292
10193
13682
12896
4474
13599
31195
1087
8500
3668
1580
3251
9371
5226
1281
4054
1045
7725
2123
8479
6453
3320722
1161823
231809
565524
326851
8102711
208373
376527
701656
230352
111521
154550
152763
49266
87164
62684
137683
250909
322902
251286
401465
1166454
175376
2332454
1254263
473466
462876
352093
820815
104761
856327
48776
920812
711832
41882
36869
26012
57446
367492
1417359
1459719
2897539
70410
509470
2801363
3231278
949038
410937
486373
279973
478254
496029
209607
725703
1108364
306711
761810
581132
7373
7414
4899
8985
2042
5062
1000
9587
4796
8590
2607
8497
14095
8925
7258
7808
5785
6325
8891
11708
12655
15516
18234
7217
11676
22194
30357
26579
30875
9687
36184
21297
37895
56615
22456
29095
5794
36144
21859
103981
2712
5663
8461
1000
3148
5843
7810
9172
2779
5621
5174
5502
2816
5624
57203
83363
750107
170590
292335
140129
575414
898319
1069977
136959
25427
679171
180441
89562
104835
163190
106124
262939
199366
195218
896207
646535
858241
1660550
2314441
937845
487384
600809
510638
2299442
1689028
1910560
66894
2057919
968253
41646
446441
381099
132933
372200
1127881
2064427
1021699
2165055
695472
163005
1091139
52605
989551
453055
183236
165292
237691
6563
372597
585445
314131
98155
135707
26317
7796
2336
1377
9423
4713
3342
9713
9341
10449
11855
1484
11518
5337
3959
7438
12377
2981
10545
3455
3396
18454
18053
9310
8723
6949
18767
4088
8587
54157
35294
11350
71909
18259
26322
27100
36923
50055
4101
2555
1000
6622
9955
6926
1608
6642
2827
4157
1152
2131
1250
3005
6084
254985
436587
106671
103613
308067
710473
1457712
412932
636776
20404
109589
594071
481523
89325
394879
63910
241752
401095
312228
577310
373442
377986
649392
2834330
1521474
705367
810236
631293
1502523
3151986
1320829
2705122
1159454
164691
328721
578538
388089
17043
207860
408675
1002110
2218915
2407899
1863179
679577
18255670
602877
1261602
273076
1079856
70945
198473
81500
72659
552448
75719
339068
221275
27330
52941
4122
6455
8885
7129
3127
5529
1631
4542
10148
10005
4930
5695
5470
1300
9753
8484
4245
9951
9429
3780
4765
20333
12486
5805
22236
23934
8495
10100
3620
36625
60909
12146
17553
57956
14034
9360
15548
69059
7080
7181
1000
5412
8352
2227
5165
4230
4167
1000
8009
1000
2833
2251
8093
156734
232712
387374
500004
1920625
8075128
5144441
990434
158302
23354
756681
392487
1033505
159468
448302
341451
279092
160759
269323
1209141
714450
29385
1952600
41638607
7967579
1597582
754668
1189872
596288
4180241
6782421
410012
314921
204041
212038
83744
233135
122669
281639
278177
125332
6745
523720
1722785
10556615
1147342
2433142
1088727
92111
491087
318705
695108
208479
356772
107002
56287
164898
24296
204886
19756
3735
7915
1000
1000
2839
1552
11899
6215
14455
11381
6375
11444
1925
14632
8432
8127
3896
7337
9782
2327
15481
4276
11440
16710
4754
10767
11700
11974
14981
51204
24105
55294
53600
55740
34208
30196
73484
1000
4775
1000
5974
6718
7690
4574
6701
4885
5426
8407
5563
2525
1345
5427
75402
379403
129516
272030
1197515
549315
708592
775327
1058058
7875838
392056
699748
1134989
1042522
1032061
50365
145723
431308
195426
439745
459630
104668
1263278
2049312
2964359
250187
2060678
737031
3004871
2976558
4326508
1293351
265929
206849
221387
66331
37291
36316
251959
667057
406902
1906
1706424
1188607
304729
1180072
427577
807594
497211
172020
119351
623145
466844
435421
46715
16067
26755
53395
7259
57863
19699
16543
36089
26475
12580
18232
8282
3037
11856
15859
7340
10196
8832
11917
3418
10975
15478
7578
4879
4073
3533
4603
7788
9745
9144
16733
9941
1546
1258
24802
9449
42857
12636
9166
49421
5860
30629
6812
8981
1163
2645
2494
7209
3772
2091
4598
3576
8213
5782
3044
1380
2489
198705
102756
159454
167267
213616
92481
160393
106845
111055
130174
694087
1547150
7778154
1633464
