Fault distance [km]
0
0
0
0
0
0
0
0
0
0
0
0
1.89
15.57
29.19
38.48
47.23
55.5
57.86
56.61
57.51
59.84
63.41
68.22
73.78
81.66
90.31
97.57
105.07
112.17
113.89
104.4
94.32
86.5
78.96
71.89
65.38
58.25
52.68
49.51
48.62
48.98
51.2
56.01
62.64
68.89
75.69
80.47
74.91
64.73
54
45.12
36.43
27.95
20.07
14.02
13.81
21.04
29.05
37.6
46.37
55.27
66.74
75.18
68.03
59.02
50.12
41.56
31.18
21.88
15.63
10.79
4.85
2.04
5.3
12.6
18.54
14.74
10.92
12.27
20.3
27.39
28.16
29.93
33.99
39.43
47.54
56.7
64.69
72.77
81.1
89.13
96.88
106.74
117
125.26
133.74
142.23
150.81
161.53
172.17
180.76
189.37
198.06
206.79
217.76
228.83
237.7
246.51
255.36
264.25
275.34
0
0
0
0
0
0
0
0
0
0
0
0
0
0
20.85
43.24
50.3
50.09
46.91
45.1
46.21
48.95
53.41
58.82
65.23
73.95
83.19
90.76
98.26
102.58
106.05
99.55
88.79
80.55
72.36
64.7
57.23
49.03
42.27
38.52
36.89
37.62
40.39
46.47
54.05
61.19
68.88
76.82
78.95
68.45
57.81
49.54
41.69
34.57
28.49
24.78
24.58
29.11
35.36
42.62
50.56
58.94
69.6
74.73
65.99
56.78
47.53
38.34
27.03
15.81
7.52
2.02
1.86
1.81
1.12
7.41
10.67
6.24
1.66
5.28
16.26
27.73
36.47
40.87
44.08
48.78
55.77
63.76
70.87
78.51
86.39
94.52
102.82
112.87
122.59
130.52
138.7
147
155.3
165.88
176.56
185.24
193.75
202.24
210.82
221.54
232.33
241.06
249.98
258.86
267.63
278.66
0
0
0
0
0
0
0
0
0
0
0
0
0
0
23.66
48.3
47.54
42.23
38.1
35.98
37.25
40.68
45.8
52.18
59.08
68.43
78.02
85.59
90.7
93.94
98.1
96.28
85.42
76.77
68.15
59.76
51.86
42.51
34.49
29.89
27.61
28.62
32.21
39.35
48.37
56.17
64.38
72.83
76.58
66.93
57.18
49.45
41.94
35.11
29.46
26.08
26.56
31.22
37.15
44.33
52.14
60.51
71.06
74.84
65.76
56.57
47.29
38.13
26.52
15.03
6.02
1.63
2.85
3.1
2.93
9.31
3.71
1.22
4.33
9.82
18.42
29.05
37.97
46.78
52.46
56.55
62.91
70.35
76.81
83.92
91.31
99.03
107.11
117.28
127.49
135.4
143.18
151.27
159.44
169.75
180.26
188.69
197.21
205.85
214.4
225.04
235.85
244.34
252.94
261.64
270.5
281.55
0
0
0
0
0
0
0
0
0
0
0
0
0
0
24.75
48.1
41.18
34.65
29.57
26.85
28.4
32.81
39.12
46.14
53.59
63.29
72.71
78.77
81.98
85.59
90.01
92.53
82.96
73.84
65.01
56.2
47.52
37.22
27.68
21.77
18.45
19.82
24.78
33.57
43.63
52.21
60.94
69.93
72.77
62.54
52.25
44.33
36.59
29.03
22.14
17.27
17.96
24.28
31.76
39.91
48.51
57.28
68.42
74.99
66.53
57.27
48.05
38.81
27.64
16.48
8.64
4.63
5.84
3.38
4.85
10.72
3.56
1.74
9.15
16.59
24.04
32.91
41.01
49.58
58.16
64.61
70.52
77.32
83.34
89.95
96.96
104.18
111.87
121.66
131.75
140.09
148.08
155.99
163.9
173.94
184.21
192.53
200.95
209.44
217.85
228.6
239.39
247.88
256.44
264.97
273.5
284.49
0
0
0
0
0
0
0
0
0
0
0
0
0
0
22.67
43.77
35.99
28.21
21.63
17.81
20.14
26.03
33.16
40.68
48.63
57.96
66.55
70.23
73.25
77.29
82.24
87.98
81.29
72.16
62.91
53.81
44.8
33.53
22.68
14.77
9.53
11.95
18.95
29.59
40.67
49.76
58.85
68.01
69.63
58.8
48.09
39.74
31.64
23.9
16.2
9.18
10.05
19.36
28.01
37.14
46.23
55.33
66.87
75.29
67.88
58.98
50.15
41.28
30.84
21.42
14.77
8.48
3.72
1.06
2.56
8.64
3.02
4.31
7.6
14.27
23.18
33.45
42.16
50.98
59.95
68.96
77.87
84.69
90.39
96.48
103.04
109.89
117.17
126.55
136.38
144.31
152.56
160.74
168.71
178.61
188.52
196.75
204.92
213.22
221.57
232.24
242.77
251.34
260.04
268.56
277.12
287.72
0
0
0
0
0
0
0
0
0
0
0
0
0
0
20.61
40.19
32.58
23.78
15.38
8.97
13.02
20.24
28.05
36.12
43.2
52.02
59
61.34
64.82
